gender,Partner,tenure,PhoneService,PaperlessBilling,MonthlyCharges,Churn
Female,Yes,56,Yes,Yes,99.8,No
Female,No,6,Yes,No,20.7,No
Male,No,3,Yes,Yes,74.4,Yes
Female,Yes,7,Yes,No,50.7,No
Female,Yes,4,Yes,No,20.85,No
Male,No,33,Yes,Yes,88.95,No
Female,No,27,Yes,Yes,78.05,Yes
Male,Yes,72,Yes,Yes,23.55,No
Male,No,1,Yes,No,19.75,No
Male,No,71,No,Yes,56.45,No
Female,No,13,Yes,Yes,85.95,No
Female,Yes,25,No,Yes,58.6,Yes
Male,No,67,Yes,No,50.55,No
Male,No,1,No,Yes,35.45,Yes
Male,No,2,Yes,No,44.35,Yes
Female,No,43,Yes,Yes,25.7,No
Female,No,23,Yes,Yes,75,No
Female,Yes,64,Yes,No,20.2,No
Male,No,57,Yes,Yes,19.6,No
Female,Yes,1,Yes,Yes,70.45,Yes
Female,Yes,72,Yes,Yes,88.05,No
Female,No,8,Yes,No,71.15,Yes
Female,Yes,61,Yes,Yes,101.05,No
Male,No,64,Yes,Yes,84.3,No
Male,Yes,71,Yes,No,23.95,No
Female,Yes,65,Yes,Yes,99.05,No
Male,No,3,Yes,No,19.6,No
Male,No,1,Yes,Yes,45.65,Yes
Male,No,30,Yes,No,64.5,No
Male,Yes,15,Yes,Yes,69.5,No
Female,Yes,8,Yes,Yes,68.55,No
Male,No,7,Yes,No,95,Yes
Female,Yes,70,Yes,Yes,108.15,No
Male,Yes,62,Yes,No,86.1,No
Female,Yes,6,Yes,No,19.7,No
Female,Yes,14,Yes,Yes,80.9,No
Female,No,22,Yes,Yes,84.15,No
Male,Yes,22,Yes,No,20.15,No
Male,Yes,16,Yes,No,64.25,No
Male,No,10,Yes,No,25.7,No
Female,No,13,Yes,Yes,56,No
Female,Yes,20,Yes,No,82.4,Yes
Female,No,2,Yes,Yes,69.7,No
Male,No,53,Yes,Yes,73.9,No
Female,Yes,11,Yes,No,20.6,No
Male,Yes,69,Yes,No,19.9,No
Female,No,4,Yes,Yes,70.9,Yes
Male,Yes,72,Yes,Yes,89.05,No
Male,Yes,58,No,Yes,45.3,Yes
Female,Yes,16,Yes,No,20.4,No
Male,Yes,43,Yes,Yes,84.25,No
Female,Yes,2,Yes,Yes,104.4,Yes
Male,Yes,14,Yes,No,81.95,No
Female,Yes,53,Yes,Yes,94.85,Yes
Female,No,32,Yes,No,20.55,No
Female,Yes,34,Yes,No,24.7,No
Female,No,15,Yes,Yes,74.45,Yes
Female,No,7,Yes,No,76.45,Yes
Female,Yes,15,Yes,Yes,105.35,No
Male,Yes,61,Yes,Yes,20.55,No
Female,No,1,No,No,29.95,Yes
Female,No,1,Yes,No,45.3,No
Male,No,8,Yes,No,84.5,Yes
Male,Yes,33,Yes,No,74.75,No
Female,No,13,Yes,Yes,79.25,Yes
Female,Yes,1,No,Yes,24.8,Yes
Male,No,20,Yes,Yes,51.8,No
Male,No,3,No,No,30.4,No
Female,No,13,Yes,No,19.65,No
Female,Yes,40,Yes,No,56.6,No
Male,Yes,43,Yes,Yes,71.9,No
Male,Yes,6,Yes,Yes,91,Yes
Female,Yes,69,Yes,No,19.75,No
Female,Yes,72,Yes,No,109.7,No
Male,Yes,59,Yes,No,19.3,No
Female,Yes,20,Yes,Yes,96.55,No
Male,Yes,24,Yes,Yes,24.1,No
Male,No,59,Yes,Yes,111.35,No
Male,Yes,72,Yes,Yes,112.25,No
Male,No,1,Yes,No,20.75,No
Female,Yes,27,Yes,Yes,101.9,No
Female,No,14,Yes,Yes,80.05,No
Male,Yes,71,Yes,No,105.55,No
Male,No,13,Yes,Yes,78.3,No
Male,No,44,Yes,No,68.85,No
Female,No,33,Yes,Yes,79.95,No
Male,Yes,72,No,Yes,55.45,No
Male,No,1,Yes,No,79.9,Yes
Female,No,19,Yes,Yes,106.6,Yes
Male,Yes,64,Yes,Yes,102.45,No
Male,No,2,Yes,Yes,46,Yes
Female,No,1,No,No,25.25,No
Male,No,61,Yes,No,19.75,No
Female,Yes,29,Yes,No,20,No
Male,Yes,23,Yes,No,86.8,No
Female,Yes,57,No,Yes,58.75,No
Male,Yes,72,No,No,45.25,No
Male,Yes,66,No,Yes,56.6,No
Male,Yes,65,Yes,Yes,84.2,No
Female,No,8,Yes,Yes,80,No
Female,No,4,Yes,Yes,70.15,Yes
Female,Yes,71,Yes,No,24.75,No
Male,Yes,1,Yes,Yes,20.2,No
Male,Yes,4,Yes,No,50.05,Yes
Female,No,12,Yes,Yes,19.35,No
Male,No,24,No,Yes,50.6,No
Female,Yes,31,Yes,Yes,81.15,No
Female,Yes,1,Yes,No,55.2,Yes
Male,No,30,Yes,Yes,89.9,No
Female,Yes,47,Yes,Yes,85.3,No
Male,No,54,Yes,Yes,108,No
Male,No,50,Yes,Yes,93.5,No
Male,No,1,Yes,Yes,84.6,Yes
Female,No,72,Yes,No,20.25,No
Female,No,29,Yes,No,25.15,No
Male,No,2,Yes,Yes,54.4,Yes
Female,No,10,No,Yes,29.6,No
Male,Yes,18,Yes,Yes,73.15,No
Female,No,11,Yes,Yes,95,Yes
Male,No,16,Yes,No,19.75,No
Female,No,72,Yes,No,86.6,No
Male,No,72,Yes,No,109.2,No
Female,Yes,41,Yes,Yes,74.7,No
Female,Yes,65,Yes,No,94.4,No
Female,No,13,Yes,Yes,54.8,No
Male,No,4,Yes,No,75.35,No
Male,No,41,Yes,No,65,No
Male,No,15,Yes,Yes,74.4,Yes
Male,No,1,Yes,Yes,48.55,Yes
Male,No,42,Yes,Yes,99,No
Female,Yes,51,Yes,Yes,93.5,No
Female,Yes,2,Yes,No,70.4,Yes
Male,Yes,1,No,No,40.2,Yes
Male,No,32,Yes,No,83.7,No
Male,No,10,Yes,Yes,19.85,No
Female,Yes,67,No,Yes,59.55,No
Female,Yes,61,Yes,No,115.1,No
Male,No,50,Yes,No,114.35,No
Female,Yes,2,Yes,Yes,44.6,Yes
Female,Yes,29,No,Yes,45,No
Male,No,3,No,Yes,41.15,Yes
Male,No,13,Yes,Yes,106.9,Yes
Male,Yes,57,Yes,Yes,89.85,No
Female,No,31,No,Yes,49.85,No
Female,Yes,45,Yes,No,113.3,No
Female,Yes,61,Yes,No,88.1,No
Male,No,50,Yes,No,24.9,No
Female,No,19,Yes,Yes,105,No
Male,No,59,Yes,No,19.35,Yes
Female,Yes,71,Yes,Yes,24.25,No
Female,No,16,Yes,Yes,94.45,Yes
Male,Yes,57,Yes,Yes,59.75,No
Male,No,1,No,No,24.8,Yes
Male,Yes,20,Yes,No,107.05,No
Male,No,1,Yes,No,70.6,Yes
Male,Yes,5,Yes,Yes,85.4,Yes
Female,Yes,52,Yes,Yes,105.05,Yes
Male,Yes,21,Yes,Yes,64.95,No
Male,No,14,No,Yes,55,No
Female,No,5,Yes,No,50.55,No
Female,No,6,Yes,No,55.15,No
Female,No,10,Yes,No,51.2,No
Female,No,1,Yes,No,25.4,No
Female,No,68,Yes,No,54.45,No
Male,Yes,18,Yes,No,95.15,Yes
Female,No,22,Yes,Yes,76,No
Female,No,20,Yes,Yes,44.35,No
Male,Yes,1,Yes,No,70,Yes
Male,No,8,Yes,Yes,74.5,Yes
Male,No,10,Yes,Yes,44.85,Yes
Male,No,24,Yes,Yes,76.1,Yes
Male,No,35,Yes,No,61.2,No
Male,Yes,23,Yes,No,86.8,No
Female,No,6,Yes,Yes,89.35,No
Female,No,12,Yes,No,19.7,No
Male,No,1,Yes,No,20.25,No
Female,Yes,71,Yes,No,76.05,No
Male,Yes,35,Yes,Yes,100.8,No
Male,Yes,40,Yes,Yes,74.55,No
Female,No,1,Yes,Yes,73.6,Yes
Male,No,23,Yes,Yes,64.9,No
Female,No,4,Yes,Yes,95.45,Yes
Male,No,4,Yes,Yes,90.4,No
Female,Yes,68,No,No,60.3,No
Male,No,38,Yes,Yes,81.85,No
Male,Yes,52,Yes,No,24.8,No
Male,Yes,32,Yes,Yes,74.9,Yes
Male,Yes,29,Yes,No,75.55,No
Male,Yes,38,Yes,No,101.15,No
Male,No,48,Yes,Yes,78.75,No
Female,No,1,Yes,Yes,19.25,No
Female,No,22,Yes,Yes,89.05,No
Female,No,43,Yes,No,115.05,No
Female,Yes,5,Yes,Yes,69.35,No
Male,No,5,Yes,Yes,80.6,Yes
Male,Yes,51,Yes,No,110.05,No
Male,No,71,Yes,Yes,19.9,No
Female,Yes,38,Yes,No,80.3,Yes
Male,Yes,24,Yes,Yes,93.15,Yes
Male,Yes,35,Yes,Yes,91.5,No
Female,No,54,Yes,No,82.45,Yes
Female,Yes,72,No,Yes,60,No
Male,No,1,Yes,Yes,44.8,No
Female,Yes,9,Yes,No,48.6,No
Male,No,69,No,Yes,60.05,No
Female,Yes,52,Yes,Yes,102.7,No
Female,Yes,11,Yes,Yes,82.9,No
Female,No,2,Yes,Yes,70.35,Yes
Female,Yes,28,No,Yes,35.9,No
Female,No,17,Yes,Yes,82.65,No
Female,Yes,35,Yes,Yes,19.85,No
Female,No,8,Yes,Yes,19.2,No
Male,No,46,Yes,Yes,94.9,No
Female,No,7,Yes,Yes,73.85,Yes
Female,No,2,Yes,No,80.6,Yes
Male,Yes,68,Yes,Yes,75.8,Yes
Female,No,43,Yes,Yes,104.6,Yes
Female,No,68,Yes,Yes,88.15,No
Female,No,36,Yes,Yes,94.8,No
Male,Yes,63,Yes,Yes,103.4,Yes
Female,No,32,Yes,No,54.65,No
Female,Yes,71,Yes,No,85.75,No
Female,Yes,66,Yes,Yes,67.45,No
Male,No,63,Yes,No,20.5,No
Female,No,41,Yes,Yes,20.25,No
Female,No,1,Yes,Yes,72.1,No
Female,No,2,Yes,Yes,90.4,Yes
Female,Yes,70,Yes,No,19.45,No
Female,No,23,No,Yes,44.95,No
Female,Yes,64,Yes,No,97,No
Male,Yes,37,Yes,Yes,62.8,No
Male,No,17,Yes,No,44.6,No
Female,No,7,Yes,Yes,89.15,No
Male,Yes,4,Yes,Yes,84.8,Yes
Female,No,21,No,Yes,41.9,Yes
Female,No,10,Yes,Yes,80.25,Yes
Female,No,16,Yes,Yes,54.1,No
Male,Yes,64,Yes,Yes,105.25,No
Male,Yes,27,No,No,30.75,Yes
Male,Yes,42,Yes,No,97.1,No
Male,No,5,Yes,No,20.2,No
Female,No,41,Yes,Yes,98.8,No
Male,Yes,58,Yes,No,50.3,No
Female,No,47,Yes,Yes,20.55,No
Male,No,18,Yes,Yes,75.9,No
Male,No,5,Yes,No,96.5,Yes
Male,Yes,23,Yes,Yes,59.95,No
Female,No,1,Yes,No,19.15,No
Male,Yes,71,Yes,Yes,98.65,No
Male,Yes,72,Yes,Yes,112.6,No
Male,Yes,33,Yes,No,20.6,No
Male,No,2,Yes,Yes,85.65,Yes
Male,No,24,No,No,35.75,No
Female,Yes,56,Yes,Yes,99.75,No
Male,No,37,Yes,Yes,96.1,No
Female,No,43,Yes,No,85.1,No
Male,No,1,No,No,25.35,No
Female,Yes,25,Yes,Yes,104.95,Yes
Female,No,61,Yes,No,89.65,No
Male,No,17,Yes,No,86.75,No
Female,Yes,41,Yes,Yes,86.2,No
Male,No,1,Yes,No,50.65,Yes
Male,Yes,72,No,Yes,64.8,No
Male,No,1,Yes,Yes,90.85,Yes
Male,No,48,Yes,Yes,108.1,No
Male,Yes,11,Yes,No,19.95,Yes
Female,Yes,55,Yes,Yes,85.45,Yes
Female,No,42,No,Yes,54.75,No
Male,No,44,Yes,Yes,90.4,No
Male,No,1,Yes,No,44,No
Female,No,27,Yes,Yes,95.6,No
Male,Yes,27,Yes,Yes,84.8,No
Female,No,2,Yes,Yes,44.3,No
Female,No,19,Yes,No,19.9,No
Female,Yes,42,Yes,Yes,95.05,No
Female,No,66,Yes,Yes,90.05,No
Male,Yes,33,Yes,Yes,109.9,No
Female,No,34,Yes,Yes,73.95,Yes
Male,No,33,No,Yes,54.6,No
Female,Yes,23,Yes,No,20.05,No
Female,No,32,Yes,No,19.75,No
Female,No,11,Yes,No,20.05,No
Male,Yes,69,Yes,Yes,99.45,Yes
Female,Yes,68,Yes,No,55.9,No
Male,No,20,Yes,Yes,19.7,No
Male,No,72,Yes,Yes,19.8,No
Male,Yes,60,Yes,Yes,95.4,No
Male,Yes,32,Yes,Yes,93.95,No
Female,No,1,Yes,Yes,19.9,Yes
Male,No,1,Yes,Yes,19.6,Yes
Male,No,3,Yes,Yes,81.35,Yes
Female,Yes,46,Yes,Yes,24.45,No
Female,Yes,29,Yes,Yes,74.95,No
Male,No,51,Yes,Yes,87.35,No
Female,Yes,48,Yes,Yes,70.65,No
Female,Yes,16,Yes,No,73.25,No
Male,Yes,70,Yes,Yes,98.7,No
Female,Yes,40,Yes,Yes,24.8,No
Female,Yes,22,Yes,No,83.3,Yes
Female,No,1,Yes,Yes,75.3,Yes
Female,Yes,5,Yes,Yes,24.3,No
Female,No,7,Yes,Yes,69.85,No
Male,No,29,Yes,No,100.55,No
Male,Yes,44,Yes,No,25.7,No
Female,No,10,No,No,40.7,No
Female,Yes,55,Yes,No,51.65,No
Male,Yes,52,Yes,Yes,105.1,No
Female,Yes,10,Yes,No,85.95,No
Male,No,18,Yes,Yes,75.6,No
Female,Yes,68,Yes,No,58.25,No
Female,Yes,61,Yes,Yes,19.4,Yes
Female,Yes,72,No,Yes,65.2,No
Male,No,2,Yes,No,53.45,No
Male,No,12,Yes,Yes,45.4,Yes
Male,Yes,41,Yes,Yes,19.75,No
Female,No,26,No,Yes,44.45,No
Male,Yes,36,Yes,No,20.85,No
Male,Yes,72,Yes,Yes,114.05,No
Male,Yes,35,Yes,Yes,89.85,No
Male,No,1,Yes,No,55.05,No
Female,Yes,16,Yes,Yes,112.95,No
Female,No,49,Yes,No,101.55,No
Female,Yes,54,Yes,Yes,114.65,No
Female,No,18,Yes,No,64.8,No
Female,Yes,36,Yes,No,80.4,No
Female,No,60,Yes,Yes,105.9,Yes
Female,No,1,Yes,No,69.55,Yes
Female,Yes,52,Yes,Yes,25.05,No
Male,Yes,8,Yes,Yes,94.75,No
Male,Yes,72,Yes,No,105.5,No
Female,No,64,Yes,No,24.7,No
Female,No,22,Yes,Yes,69.75,No
Male,Yes,60,No,Yes,60.2,No
Female,Yes,28,Yes,Yes,81.05,Yes
Female,Yes,61,Yes,No,24.4,No
Female,No,24,Yes,Yes,104.15,No
Male,Yes,28,Yes,No,92.9,No
Female,Yes,30,Yes,No,80.8,No
Male,Yes,2,Yes,No,20,No
Male,No,1,Yes,Yes,75.1,No
Male,No,6,Yes,No,19.65,No
Female,Yes,24,Yes,Yes,69.45,No
Male,Yes,4,Yes,No,101.15,Yes
Male,No,7,Yes,Yes,99.8,Yes
Male,Yes,72,Yes,Yes,116.05,No
Male,No,70,No,Yes,40.05,No
Male,Yes,64,Yes,No,102.1,No
Male,Yes,72,Yes,Yes,89.7,No
Female,No,44,Yes,No,19.9,No
Female,Yes,13,Yes,No,55.95,Yes
Female,No,17,Yes,No,20.65,No
Male,No,1,Yes,Yes,55,Yes
Male,Yes,9,Yes,Yes,70.05,No
Male,Yes,24,Yes,No,53.6,No
Female,Yes,1,Yes,Yes,74.7,Yes
Male,No,24,Yes,Yes,80.25,Yes
Male,Yes,35,Yes,Yes,76.05,No
Female,Yes,7,Yes,Yes,75.7,No
Male,No,5,Yes,Yes,96.1,Yes
Female,No,15,Yes,No,69,Yes
Male,Yes,11,Yes,No,19.65,No
Female,Yes,48,No,Yes,45.3,Yes
Female,No,20,Yes,Yes,81.45,No
Female,Yes,72,Yes,Yes,108.5,No
Female,Yes,8,Yes,Yes,83.55,Yes
Male,Yes,72,Yes,Yes,84.5,No
Female,No,15,Yes,Yes,100.15,No
Male,No,72,Yes,Yes,88.6,No
Female,Yes,0,No,Yes,52.55,No
Male,No,1,Yes,Yes,74.35,Yes
Male,Yes,63,Yes,Yes,104.8,No
Female,No,2,Yes,Yes,59,No
Female,Yes,2,Yes,Yes,74.4,Yes
Male,Yes,61,Yes,No,64.05,No
Male,No,1,Yes,No,20.4,No
Male,No,22,No,Yes,43.75,Yes
Male,Yes,28,Yes,No,60.9,No
Female,Yes,70,Yes,No,19.8,No
Female,No,5,No,No,28.45,Yes
Female,No,12,Yes,Yes,99.7,Yes
Male,No,34,Yes,No,116.25,No
Female,Yes,71,Yes,Yes,80.7,No
Female,Yes,70,Yes,No,65.2,No
Female,Yes,52,Yes,Yes,84.05,No
Male,No,69,Yes,Yes,79.45,No
Female,No,20,Yes,Yes,94.1,Yes
Male,No,11,Yes,Yes,78,No
Male,Yes,2,Yes,Yes,94.2,Yes
Female,Yes,6,Yes,Yes,80.5,Yes
Female,No,1,Yes,No,19.85,No
Male,Yes,20,Yes,No,94.3,No
Male,No,61,Yes,Yes,106.45,No
Female,Yes,5,Yes,Yes,74.35,Yes
Female,No,56,Yes,Yes,105.45,No
Male,No,30,Yes,Yes,95,No
Male,No,40,Yes,No,104.8,Yes
Female,No,28,Yes,No,54.3,No
Female,Yes,5,Yes,No,70.05,No
Female,Yes,27,Yes,Yes,75.2,Yes
Male,No,12,Yes,No,20.05,No
Male,Yes,67,Yes,Yes,105.4,No
Male,Yes,29,Yes,Yes,51.6,No
Male,Yes,55,Yes,No,85.5,No
Female,No,23,Yes,No,75.6,Yes
Male,Yes,34,Yes,Yes,100.05,Yes
Male,No,52,Yes,No,91.25,No
Male,Yes,72,Yes,Yes,115.75,No
Male,Yes,58,Yes,Yes,94.7,No
Male,Yes,35,Yes,No,19.6,No
Female,No,56,Yes,Yes,99.9,No
Female,Yes,24,Yes,Yes,21.1,No
Male,Yes,70,Yes,No,20.05,No
Male,No,2,Yes,Yes,79.95,No
Male,Yes,68,Yes,Yes,107.15,No
Female,No,1,Yes,Yes,85,Yes
Male,No,12,Yes,Yes,89.55,No
Female,Yes,63,Yes,Yes,81.55,No
Female,Yes,33,Yes,Yes,58.45,No
Female,Yes,69,Yes,Yes,95.65,No
Female,Yes,60,Yes,Yes,80.6,No
Female,Yes,72,Yes,Yes,113.1,No
Female,No,11,Yes,Yes,58.95,No
Female,No,1,Yes,No,19.55,No
Male,No,10,Yes,Yes,86.05,Yes
Male,No,13,No,Yes,45.55,Yes
Male,Yes,34,Yes,Yes,78.95,No
Male,Yes,39,Yes,Yes,86.3,Yes
Female,No,65,Yes,Yes,105.05,No
Male,Yes,50,Yes,Yes,101.9,No
Male,No,15,Yes,No,19.75,No
Male,Yes,72,Yes,Yes,110.3,No
Female,Yes,72,Yes,Yes,115.6,No
Male,Yes,55,Yes,No,19.35,No
Female,Yes,23,Yes,Yes,25.6,No
Male,No,32,Yes,Yes,80.35,Yes
Female,Yes,56,Yes,Yes,68.75,No
Female,No,1,Yes,No,19.9,No
Male,No,38,Yes,No,70.6,No
Male,No,11,Yes,No,70.2,No
Male,No,1,Yes,Yes,49.3,No
Male,Yes,56,Yes,Yes,107.25,No
Male,Yes,3,Yes,Yes,23.6,No
Male,Yes,7,Yes,No,69.7,No
Male,Yes,59,Yes,Yes,99.5,No
Male,No,7,Yes,No,64.3,No
Male,Yes,71,Yes,Yes,70.85,No
Male,Yes,15,Yes,No,101.9,No
Male,Yes,71,Yes,No,73.5,No
Female,No,35,Yes,Yes,100.25,Yes
Female,No,11,No,Yes,40.4,No
Female,Yes,60,Yes,Yes,19.25,No
Male,No,47,Yes,No,59.6,No
Female,No,11,Yes,No,64.9,No
Male,Yes,56,Yes,No,100.3,Yes
Female,Yes,28,Yes,Yes,110.85,No
Male,Yes,61,Yes,Yes,81.05,No
Male,Yes,31,Yes,No,98.05,No
Male,No,9,Yes,Yes,70.5,No
Male,Yes,35,Yes,Yes,94.55,No
Male,No,2,Yes,Yes,19.65,No
Female,Yes,12,Yes,No,19,Yes
Female,No,1,Yes,No,75.3,Yes
Female,No,4,Yes,Yes,89.2,Yes
Female,Yes,1,Yes,Yes,19,No
Female,No,3,Yes,Yes,20,No
Female,No,1,Yes,Yes,85.7,Yes
Male,No,52,Yes,Yes,63.25,No
Male,Yes,5,Yes,No,20.1,No
Male,Yes,72,Yes,Yes,99.15,No
Male,Yes,71,Yes,No,90.4,No
Male,Yes,72,Yes,Yes,111.9,No
Male,Yes,46,Yes,No,24.9,No
Male,Yes,63,Yes,No,83.5,No
Male,No,30,Yes,Yes,84.3,No
Male,No,1,Yes,No,45.6,No
Female,No,12,Yes,Yes,61.65,Yes
Male,No,16,No,No,54.85,No
Male,No,4,Yes,No,65.55,No
Male,Yes,51,Yes,Yes,90.35,No
Male,Yes,65,Yes,Yes,20.4,No
Male,No,16,Yes,Yes,74.55,No
Male,No,2,Yes,No,19.95,No
Female,Yes,66,Yes,Yes,74.25,No
Male,No,46,Yes,No,108.65,No
Female,No,32,Yes,Yes,109.55,No
Male,Yes,72,Yes,No,86.65,No
Male,Yes,38,Yes,No,81,No
Male,No,51,Yes,No,47.85,No
Male,Yes,72,Yes,No,114.55,No
Female,Yes,65,Yes,No,105.25,Yes
Male,Yes,9,No,Yes,29.95,Yes
Female,Yes,9,Yes,No,65,Yes
Male,No,66,Yes,No,20.55,No
Female,No,44,Yes,Yes,109.8,No
Male,No,50,Yes,No,69.5,No
Female,No,15,Yes,No,48.85,No
Male,No,8,No,Yes,25.25,No
Female,No,66,Yes,Yes,102.85,No
Female,No,57,Yes,Yes,87.55,No
Female,No,7,Yes,Yes,78.55,No
Male,Yes,10,No,Yes,34.55,No
Female,No,62,Yes,Yes,92.05,No
Male,Yes,40,Yes,Yes,85.05,No
Female,No,20,Yes,No,19.7,No
Female,No,7,Yes,No,20,Yes
Female,Yes,25,Yes,Yes,95.15,No
Male,Yes,23,Yes,No,84.25,No
Female,Yes,66,Yes,No,104.6,No
Female,No,72,Yes,No,111.65,No
Male,Yes,49,Yes,No,90.05,Yes
Male,Yes,43,Yes,Yes,110.75,Yes
Female,Yes,46,Yes,No,55,No
Male,Yes,72,Yes,No,89.85,No
Male,No,10,Yes,No,20.35,No
Female,No,40,No,Yes,54.55,No
Female,Yes,65,Yes,Yes,105.5,Yes
Male,No,31,Yes,No,99.45,No
Female,Yes,68,Yes,No,70.9,No
Male,Yes,56,Yes,Yes,104.55,Yes
Male,Yes,10,Yes,Yes,85.25,Yes
Male,Yes,68,Yes,No,25.4,No
Female,Yes,43,Yes,No,56.15,Yes
Male,No,1,Yes,Yes,89.55,Yes
Female,No,49,Yes,Yes,89.85,No
Female,Yes,15,Yes,Yes,25.25,No
Male,Yes,20,Yes,Yes,94.55,Yes
Male,No,1,Yes,Yes,45.7,Yes
Male,Yes,50,Yes,Yes,69.65,No
Female,No,2,Yes,No,89.5,Yes
Male,No,24,Yes,No,70,No
Female,No,3,Yes,Yes,69.55,Yes
